"","nom_ent","mun","nom_mun","loc","ageb","p_15a49_f"
"181","México",106,"Toluca",55,"3655",1209
"182","México",106,"Toluca",62,"1593",54
"183","México",106,"Toluca",62,"1767",1538
"184","México",106,"Toluca",62,"1771",1743
"185","México",106,"Toluca",62,"2407",369
"186","México",106,"Toluca",62,"2680",454
"187","México",106,"Toluca",62,"2835",832
"188","México",106,"Toluca",62,"3602",70
"189","México",106,"Toluca",63,"0241",1716
"190","México",106,"Toluca",63,"284A",66
"191","México",106,"Toluca",65,"2977",480
"192","México",106,"Toluca",65,"2981",637
"193","México",106,"Toluca",65,"3458",131
"194","México",106,"Toluca",65,"3462",9
"195","México",106,"Toluca",68,"2500",1058
"196","México",106,"Toluca",68,"373A",422
"197","México",106,"Toluca",68,"3744",849
"198","México",106,"Toluca",70,"1786",1003
"199","México",106,"Toluca",70,"1790",1343
"200","México",106,"Toluca",70,"2252",206
"201","México",106,"Toluca",70,"302A",80
"202","México",106,"Toluca",70,"3034",25
"203","México",106,"Toluca",70,"3477",88
"204","México",106,"Toluca",72,"2178",3206
"205","México",106,"Toluca",72,"2854",1034
"206","México",106,"Toluca",72,"3049",435
"207","México",106,"Toluca",72,"3053",1285
"208","México",106,"Toluca",72,"3068",2299
"209","México",106,"Toluca",72,"3481",282
"210","México",106,"Toluca",72,"3689",515
"211","México",106,"Toluca",72,"3725",518
"212","México",106,"Toluca",73,"0294",1792
"213","México",106,"Toluca",73,"1574",382
"214","México",106,"Toluca",73,"2750",82
"215","México",106,"Toluca",73,"2869",53
"216","México",106,"Toluca",73,"2943",16
"217","México",106,"Toluca",77,"1485",967
"218","México",106,"Toluca",77,"149A",711
"219","México",106,"Toluca",77,"2958",10
"220","México",106,"Toluca",79,"1502",2343
"221","México",106,"Toluca",79,"2271",1361
"222","México",106,"Toluca",79,"2695",910
"223","México",106,"Toluca",79,"2873",581
"224","México",106,"Toluca",79,"2888",1185
"225","México",106,"Toluca",82,"2182",1900
"226","México",106,"Toluca",83,"1517",1751
"227","México",106,"Toluca",83,"1521",1097
"228","México",106,"Toluca",83,"1589",652
"229","México",106,"Toluca",83,"1659",732
"230","México",106,"Toluca",83,"170A",705
"231","México",106,"Toluca",83,"2286",562
"232","México",106,"Toluca",83,"2394",36
"233","México",106,"Toluca",83,"2712",2175
"234","México",106,"Toluca",83,"2727",1974
"235","México",106,"Toluca",83,"2892",144
"236","México",106,"Toluca",84,"1803",2762
"237","México",106,"Toluca",84,"1818",2145
"238","México",106,"Toluca",84,"2464",591
"239","México",106,"Toluca",84,"2553",152
"240","México",106,"Toluca",84,"2905",518
"241","México",106,"Toluca",84,"3509",0
"242","México",106,"Toluca",84,"3528",0
"243","México",106,"Toluca",84,"3759",0
"244","México",106,"Toluca",88,"2479",1385
"245","México",106,"Toluca",88,"3617",70
"246","México",106,"Toluca",97,"1837",1726
"247","México",106,"Toluca",97,"1841",2435
"248","México",106,"Toluca",97,"2267",325
"249","México",106,"Toluca",98,"2515",956
"250","México",106,"Toluca",99,"2197",1594
"251","México",106,"Toluca",112,"2483",1533
"252","México",106,"Toluca",127,"220A",1274
"253","México",106,"Toluca",127,"3621",131
"254","México",106,"Toluca",155,"252A",904
"255","México",106,"Toluca",194,"2549",1071
"256","México",106,"Toluca",220,"3778",883
